person,cause_short,date,dept_name,state
Constable Darius Quimby,Gunfire,1791-01-03,Albany County Constable's Office, NY
Sheriff Cornelius Hogeboom,Gunfire,1791-10-22,Columbia County Sheriff's Office, NY
Deputy Sheriff Isaac Smith,Gunfire,1792-05-17,Westchester County Sheriff's Department, NY
Marshal Robert Forsyth,Gunfire,1794-01-11,United States Department of Justice - United States Marshals Service, US
Sheriff Robert Maxwell,Gunfire,1797-11-12,Greenville County Sheriff's Office, SC
High Sheriff John Caldwell Cook,Gunfire,1804-10-16,Mecklenburg County Sheriff's Office, NC
Watchman Christian Luswanger,Stabbed,1806-12-25,New York City Watch, NY
Deputy Sheriff John A. Gooch,Gunfire,1807-03-07,Livingston County Sheriff's Department, KY
Deputy Sheriff Ebenezer Parker,Assault,1808-01-18,Cumberland County Sheriff's Office, ME
Night Watchman George Workner,Stabbed,1808-03-15,Baltimore City Police Department, MD
Boatman Asa Marsh,Gunfire,1808-08-03,United States Department of the Treasury - Customs Service, US
Boatman Ellis Drake,Gunfire,1808-08-03,United States Department of the Treasury - Customs Service, US
Custom House Officer Daniel Miller,Gunfire,1810-01-01,United States Department of the Treasury - Customs Service, US
Deputy Sheriff John Tileston Downes,Gunfire,1811-01-28,Hancock County Sheriff's Department, ME
Customs Inspector John Stout,Gunfire,1814-01-21,United States Department of the Treasury - Customs Service, US
Sheriff John Coor Pender,Gunfire,1816-01-01,Wayne County Sheriff's Office, NC
Sheriff Caleb Hewitt,Assault,1816-09-09,Davidson County Sheriff's Office, TN
Deputy Sheriff William Huddleston,Assault,1818-10-09,Schoharie County Sheriff's Department, NY
"Constable Jacob Dearduff, Sr.",Stabbed,1823-02-22,Jamestown Police Department, OH
Constable Elijah Chenault,Assault,1823-08-04,Alexandria Police Department, VA
Constable Robert Murphy,Stabbed,1824-11-11,Franklin County Sheriff's Department, IN
Constable William Davidson,Gunfire,1825-04-14,Pennsylvania State Constable - Venango County, PA
Watch Officer Jonathan Houghton,Assault,1825-12-19,Boston Watch, MA
Watchman Gerrard Arnold,Assault,1827-09-09,Alexandria Police Department, VA
Watchman Steven Heimer,Gunfire,1828-01-08,Philadelphia Police Department, PA
Sheriff Thomas Griffin Thornton,Gunfire,1830-06-12,Caroline County Sheriff's Office, VA
Town Sergeant John Smith,Assault,1832-06-21,Foster Police Department, RI
Guard Ezra Hoskins,Assault,1833-05-01,Connecticut Department of Correction, CT
Sheriff William Gresham,Stabbed,1834-01-23,Harrison County Sheriff's Department, IN
Constable Moore C. Wisdom,Stabbed,1834-08-30,Purdy Constable's Office, TN
Watchman Lewis L. Leuba,Stabbed,1836-04-13,New York City Watch, NY
Constable William Mull,Stabbed,1836-04-28,St. Louis Metropolitan Police Department, MO
Deputy Sheriff George Hammond,Stabbed,1836-04-28,St. Louis Metropolitan Police Department, MO
Watchman Kim Hudson,Stabbed,1836-08-28,New York City Watch, NY
Private David Clark,Gunfire,1837-01-07,Texas Rangers, TX
Second Lieutenant Alfred H. Miles,Assault,1837-11-10,Texas Rangers, TX
Private Jesse Blair,Assault,1837-11-10,Texas Rangers, TX
Private Alexander Bostwick,Gunfire,1837-11-10,Texas Rangers, TX
Private James Christian,Assault,1837-11-10,Texas Rangers, TX
Private Joseph Cooper,Gunfire,1837-11-10,Texas Rangers, TX
Private James Joslen,Assault,1837-11-10,Texas Rangers, TX
Private Westley Nicholson,Assault,1837-11-10,Texas Rangers, TX
Private William Nicholson,Gunfire,1837-11-10,Texas Rangers, TX
Private William Sanders,Gunfire,1837-11-10,Texas Rangers, TX
Private Lewis F. Scheuster,Assault,1837-11-10,Texas Rangers, TX
Deputy Sheriff Nester Young,Gunfire,1838-01-15,Ashtabula County Sheriff's Department, OH
Private Julius Bullock,Assault,1838-10-12,Texas Rangers, TX
Private John W. Carpenter,Assault,1838-10-12,Texas Rangers, TX
Private Thomas M. Scott,Assault,1838-10-12,Texas Rangers, TX
Private John Wilson,Assault,1838-10-12,Texas Rangers, TX
Private James Hall,Assault,1838-12-17,Texas Rangers, TX
Deputy U.S. Marshal John Gatewood,Gunfire,1839-02-02,United States Department of Justice - United States Marshals Service, US
Captain Jacob Shipman Burleson,Gunfire,1839-02-25,Texas Rangers, TX
Private Edward Blakey,Gunfire,1839-02-25,Texas Rangers, TX
Private John B. Walters,Gunfire,1839-02-25,Texas Rangers, TX
Private James Gilleland,Gunfire,1839-03-07,Texas Rangers, TX
Captain John Bird,Assault,1839-05-26,Texas Rangers, TX
First Sergeant William H. Weaver,Gunfire,1839-05-26,Texas Rangers, TX
Private Jesse E. Nash,Assault,1839-05-26,Texas Rangers, TX
Private Thomas Gay,Gunfire,1839-05-26,Texas Rangers, TX
Private H. M. C. Hall,Gunfire,1839-05-27,Texas Rangers, TX
Watchman James P. Van Duzen,Fall,1839-06-25,New York City Watch, NY
Sheriff Joseph L. Hood,Stabbed,1840-03-19,Bexar County Sheriff's Office, TX
Town Marshal John Yeomans,Gunfire,1840-05-24,Jacksonville Police Department, FL
Sheriff John B. Campbell,Gunfire,1841-01-23,Harrison County Sheriff's Office, TX
Guard Cyrus Sells,Assault,1841-06-09,Ohio Department of Rehabilitation and Correction, OH
Prison Guard William Bullard,Assault,1841-06-14,Missouri Department of Corrections, MO
Private Abram Trigg Smith,Gunfire,1841-08-05,Texas Rangers, TX
Sheriff Thomas Wooldridge,Gunfire,1842-05-19,Dubois County Sheriff's Department, IN
"Warden Charles Lincoln, Jr.",Stabbed,1843-06-18,Massachusetts Department of Correction, MA
Sheriff Samuel B. Wingo,Gunfire,1843-08-31,Shannon County Sheriff's Department, MO
Sheriff George Lee Phillips,Drowned,1843-09-23,Ashe County Sheriff's Office, NC
Sheriff Robert D. Lester,Gunfire,1844-03-21,Crawford County Sheriff's Department, WI
Sheriff Lewis Williams,Gunfire,1844-04-26,Jackson County Sheriff's Department, FL
Private Peter Fohr,Assault,1844-06-08,Texas Rangers, TX
Keeper James Gastin,Assault,1844-10-31,Pennsylvania Department of Corrections, PA
Undersheriff Osman N. Steele,Gunfire,1845-08-07,Delaware County Sheriff's Office, NY
Constable John Holton,Stabbed,1845-11-24,Augusta Police Department, KY
Sheriff Lansford Stallings,Gunfire,1845-12-04,Cherokee County Sheriff's Office, AL
Lieutenant John M. Brown,Stabbed,1845-12-28,Cherokee Nation Marshal Service, TR
Sheriff Samuel Grimmett,Gunfire,1847-04-11,Montgomery County Sheriff's Office, TX
Deputy Sheriff William Armstrong,Gunfire,1847-06-25,Hampshire County Sheriff's Office, VA
Sheriff Enoch B. Morelock,Gunfire,1847-12-19,Sullivan County Sheriff's Office, MO
Watchman David Estes,Gunfire,1848-04-27,Boston Watch, MA
Watchman John Brasher,Gunfire,1849-05-06,Cincinnati Police Department, OH
Watchman Peter Davison,Stabbed,1849-06-25,Cincinnati Police Department, OH
Patrolman Thomas Lynch,Assault,1849-09-27,New York Municipal Police Force, NY
Patrolman William Helms,Structure collapse,1849-10-16,New York Municipal Police Force, NY
Major Charles Grandison Bryant,Assault,1850-01-12,Texas Rangers, TX
Police Officer Ephraim Hibler,Gunfire,1850-05-26,St. Louis Metropolitan Police Department, MO
Private William Gillespie,Assault,1850-05-29,Texas Rangers, TX
Sheriff Joseph McKinney,Gunfire,1850-08-15,Sacramento County Sheriff's Department, CA
Private John Lemon Wilbarger,Gunfire,1850-08-20,Texas Rangers, TX
"Private Daniel C. ""Doc"" Sullivan",Gunfire,1850-08-20,Texas Rangers, TX
Private Samuel Baker Barton,Assault,1851-01-27,Texas Rangers, TX
Private William Lackey,Assault,1851-02-03,Texas Rangers, TX
Patrolman George T. Gillespie,Assault,1851-07-10,New York Municipal Police Force, NY
Sergeant Michael Foster,Stabbed,1851-08-04,New York Municipal Police Force, NY
Posseman Edward Gorsuch,Gunfire,1851-09-11,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff David Neil,Gunfire,1851-09-27,Smith County Sheriff's Office, TX
Deputy Sheriff James Holden,Gunfire,1851-09-27,Smith County Sheriff's Office, TX
Night Policeman William Baker,Fire,1851-12-26,Philadelphia Police Department, PA
Captain Chin Chi Kee,Gunfire,1852-01-10,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Sheriff James Preston Fulkerson,Gunfire,1852-04-04,Calhoun County Sheriff's Office, TX
Deputy Sheriff Moses Formwalt,Stabbed,1852-05-01,DeKalb County Sheriff's Office, GA
Watchman William T. Pullan,Assault,1852-05-18,Providence City Watch, RI
Constable Gideon Manchester,Gunfire,1852-07-16,Fall River Police Department, MA
Watchman Joseph Stoddard,Stabbed,1852-09-10,Cincinnati Police Department, OH
Deputy Sheriff Wesley F. Cherry,Gunfire,1853-03-06,King County Sheriff's Office, WA
Night Watchman Samuel H. Ferguson,Stabbed,1853-04-21,Pittsburgh Night Watch, PA
Deputy Sheriff Rodney Badger,Drowned,1853-04-29,Salt Lake County Sheriff's Office, UT
Shadow George Trenchard,Fire,1853-06-02,New York Municipal Police Force, NY
Watchman John Osborne,Stabbed,1853-12-01,Cleveland Police Department, OH
Constable James Quinn,Assault,1853-12-05,Chicago Police Department, IL
Constable Jack Wheelan,Stabbed,1853-12-07,Los Angeles County Constable's Office, CA
Police Officer George R. Turner,Gunfire,1854-04-14,Stockton Police Department, CA
